"TWITTER,1333,92.873218 %
"NIIT TECHNOLOGIES LIMITED",1339,92.905153 %
"PAYPAL,2843,92.965178 %
"EBAY INC.",3464,93.013857 %
"THE BOARD OF TRUSTEES OF THE LELAND STANFORD,1738,93.440736 %
"HEXAWARE TECHNOLOGIES,5479,93.611973 %
"AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY,1351,93.634345 %
"SALESFORCE.COM,2250,94.266667 %
"MAYO CLINIC",1772,94.300226 %
"UST GLOBAL INC.",6363,94.389439 %
"POLARIS SOFTWARE LAB (INDIA) LTD.",1326,94.419306 %
"EVEREST CONSULTING GROUP,1651,94.427620 %
"CYMA SYSTEMS INC",1269,94.483846 %
"MEMORIAL SLOAN-KETTERING CANCER CENTER",1080,94.537037 %
"VEDICSOFT SOLUTIONS LLC",1274,94.583987 %
"DALLAS INDEPENDENT SCHOOL DISTRICT",1729,94.621168 %
"SYNTEL CONSULTING INC.",3167,94.695295 %
"LARSEN & TOUBRO INFOTECH LIMITED",17457,95.388669 %
"CAPGEMINI AMERICA INC",16725,95.408072 %
"HEADSTRONG SERVICES LLC",2587,95.477387 %
"EXPERIS US,1642,95.493301 %
"TECH MAHINDRA (AMERICAS),17753,95.617642 %
"DOTCOM TEAM,1125,95.733333 %
"UNIVERSITY OF MINNESOTA",1353,95.787140 %
"THE MATHWORKS,2020,95.792079 %
"TECHDEMOCRACY LLC",1027,95.813048 %
"SATYAM COMPUTER SERVICES LIMITED",2403,95.838535 %
"IGATE TECHNOLOGIES INC.",12564,95.908946 %
"PATNI AMERICAS INC.",3149,95.935218 %
"KPMG LLP",4629,96.025059 %
"ERP ANALYSTS,1788,96.140940 %
"COLLABORATE SOLUTIONS INC",1209,96.195203 %
"CAPGEMINI FINANCIAL SERVICES USA INC",4426,96.475373 %
"BLOOMBERG,2352,96.641156 %
"BIRLASOFT INC",2370,96.666667 %
"PRICEWATERHOUSECOOPERS LLP",2719,96.689960 %
"SMARTSOFT INTERNATIONAL,1212,96.699670 %
"VMWARE,2617,96.713794 %
"LARSEN & TOUBRO TECHNOLOGY SERVICES LTD",1385,96.750903 %
"VEDICSOFT",1169,96.834902 %
"TECH MAHINDRA (AMERICAS) INC.",2102,96.860133 %
"SYNTEL INC",1946,97.019527 %
"CYIENT,1281,97.033568 %
"CSC COVANSYS CORPORATION",2251,97.112394 %
"NATSOFT CORPORATION",1137,97.185576 %
"RITE AID CORP.",1577,97.209892 %
"PRICEWATERHOUSECOOPERS ADVISORY SERVICES LLC",1724,97.215777 %
"NVIDIA CORPORATION",1182,97.292724 %
"PHOTON INFOTECH,1334,97.301349 %
"COMPUTER SCIENCES CORPORATION",1089,97.428834 %
"THE BOSTON CONSULTING GROUP,1352,97.559172 %
"3I INFOTECH,2430,97.572016 %
"INFOSYS TECHNOLOGIES LIMITED",1336,97.604790 %
"SATYAM COMPUTER SERVICES LTD",1622,97.657213 %
"PERFICIENT,1366,97.730600 %
"GENPACT LLC",1046,97.801147 %
"AKVARR INC",1372,97.886297 %
"DELOITTE & TOUCHE LLP",9642,97.925742 %
"PRICEWATERHOUSECOOPERS,2529,97.943851 %
"ERNST & YOUNG U.S. LLP",18232,98.036419 %
"HCL AMERICA,22679,98.042242 %
"MCKINSEY & COMPANY,1097,98.085688 %
"NTT DATA,5548,98.143475 %
"COMPUNNEL SOFTWARE GROUP,3379,98.194732 %
"AVCO CONSULTING INC",1424,98.244382 %
"CGI TECHNOLOGIES AND SOLUTIONS INC.",1995,98.245614 %
"DELOITTE CONSULTING LLP",36742,98.307114 %
"ACCENTURE LLP",33447,98.397465 %
"SAP AMERICA,1456,98.557692 %
"KFORCE INC.",1596,98.558897 %
"DELOITTE TAX LLP",2501,98.560576 %
"MPHASIS CORPORATION",5199,98.576649 %
"DELASOFT,1165,98.626609 %
"AMDOCS INC.",1023,98.631476 %
"RELIABLE SOFTWARE RESOURCES,1992,98.795181 %
"DIASPARK,1673,98.983861 %
"GRANDISON MANAGEMENT,1387,98.990627 %
"TECH MAHINDRA ( AMERICAS),1170,99.059829 %
"MINDTREE LIMITED",4067,99.065650 %
"TATA CONSULTANCY SERVICES LIMITED",64726,99.244508 %
"YASH & LUJAN CONSULTING,1373,99.271668 %
"YASH TECHNOLOGIES,2214,99.277326 %
"INFOSYS LIMITED",130592,99.482357 %
"HTC GLOBAL SERVICES INC.",2632,100.000000 %
